Map,Lot,Unit,Street Address,Acres,Class,Assess. 2021,Apprais. 2021,Improv. 2021,Land Value 2021,Total Value 2021,Assess. 2020,Apprais. 2020,Recent Sale,Recent Date,Previous Sale,Previous Date,Grafton Sale,Grafton Date
401,49,,10 HEWS LN,28.65,R,"$321,000","$428,200","$176,700","$251,500","$428,200","$250,200","$347,400","$20,000",1987-05-18,$0,,$0,
401,50,,8 HEWS LN,2.4,R,"$362,500","$362,500","$212,100","$150,400","$362,500","$303,600","$303,600",$0,2007-06-19,$0,,$0,
401,51,,43 DARTMOUTH COLLEGE HY,53.9,R,"$525,500","$835,600","$374,700","$460,900","$835,600","$360,700","$641,700",$0,2018-09-13,$0,,$0,
401,52,,61 DARTMOUTH COLLEGE HY,2.2,R,"$671,900","$671,900","$542,500","$129,400","$671,900","$287,700","$287,700","$232,266",2002-12-20,$0,,$0,
401,53,1000,63-69 DARTMOUTH COLLEGE HY,3.2,,"$1,732,200","$1,732,200","$1,367,900","$364,300","$1,732,200","$1,489,200","$1,489,200","$116,733",2013-09-23,$0,,$0,
401,54,,77 DARTMOUTH COLLEGE HY,2.4,R,"$187,600","$187,600","$56,900","$130,700","$187,600","$168,600","$168,600","$150,000",2016-08-01,$0,,$0,
401,55,301,85 DARTMOUTH COLLEGE HY #3010,0,R,"$378,800","$378,800","$378,800",$0,"$378,800","$347,600","$347,600","$368,533",2006-08-30,"$167,266",2003-03-05,$0,
401,56,,101 DARTMOUTH COLLEGE HY,136,E,"$3,047,400","$3,047,400","$2,454,700","$592,700","$3,047,400","$2,683,100","$2,683,100","$250,000",1998-02-17,"$252,000",1993-09-21,$0,
401,57,,82 RIVER RD,0.83,R,"$247,100","$247,100","$82,600","$164,500","$247,100","$218,400","$218,400",$0,2017-12-04,"$1,500",1970-02-12,$0,
401,59,,7 WILMOTT WY,5.78,R,"$189,500","$189,500","$66,900","$122,600","$189,500","$132,900","$132,900",$0,,$0,,$0,
