PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
1	FLOWAGE RIGHTS	100/  1/  /  / 	100	1		   001/ 001	"$1,254,000 "	"$1,254,000 "	0	422	ELEC PLANT		1	2016	"$1,254,000 "	$0 	"$1,254,000 "	$0 	4/20/17	"$26,278,600 "	3/31/05	"$1,254,000 "	"$1,254,000 "		$0 
102834	67  ACORN HILL RD	408/  63/  /  / 	408	63		  4250/0161	"$1,206,400 "	"$1,382,700 "	32.13	1010	SINGLE FAM MDL01	RD	1	2016	"$860,200 "	"$522,500 "	"$1,382,700 "	"$410,000 "	11/22/16			"$1,054,600 "	"$1,214,200 "		"$151,800 "
1386	25 PONY HILL LN	416/  20/  /  / 	416	20		002951/0697	"$1,202,600 "	"$1,526,500 "	48	1010	SINGLE FAM MDL01	RD	1	2016	"$800,900 "	"$725,600 "	"$1,526,500 "	"$800,000 "	1/23/04			"$1,235,100 "	"$1,527,800 "		"($32,500)"
750	16 CLOVER MILL LN	407/  70/  /  / 	407	70		  4541/ 556	"$1,198,700 "	"$1,198,700 "	5.06	1010	SINGLE FAM MDL01	RD	1	2016	"$926,200 "	"$272,500 "	"$1,198,700 "	"$1,188,733 "	7/31/20	"$935,000 "	10/5/12	"$1,029,200 "	"$1,029,200 "		"$169,500 "
401	187 RIVER RD	402/  103/  /  / 	402	103		 	"$1,188,900 "	"$1,188,900 "	44	9010	STATE NH	RD	1	2016	$0 	"$1,188,900 "	"$1,188,900 "	$0 				"$1,058,500 "	"$1,058,500 "		"$130,400 "
1053	136 WASHBURN HILL RD	409/  98/  /  / 	409	98		  4322/0033	"$1,187,500 "	"$1,903,600 "	249.3	1010	SINGLE FAM MDL01	RD	1	2016	"$859,100 "	"$1,044,500 "	"$1,903,600 "	"$1,700,000 "	11/1/17	"$1,650,000 "	4/2/04	"$1,146,000 "	"$1,795,600 "		"$41,500 "
1298	420 DORCHESTER RD	414/  53/  /  / 	414	53		  4350/0600	"$1,180,800 "	"$1,317,900 "	29.24	1010	SINGLE FAM MDL01	ELD	1	2016	"$1,009,200 "	"$308,700 "	"$1,317,900 "	"$1,300,000 "	3/29/18	"$535,000 "	8/14/03	"$1,125,800 "	"$1,250,300 "		"$55,000 "
56	4 ON THE COMMON	201/  36/  /  / 	201	36		  3516/0484	"$1,160,900 "	"$1,160,900 "	0.18	3160	COMM WHSE	LCD	1	2016	"$926,400 "	"$234,500 "	"$1,160,900 "	$0 	4/22/08	"$7,543,800 "	4/2/08	"$1,095,200 "	"$1,095,200 "		"$65,700 "
820	19 CUTTING HILL LN	407/  125/  1000/  / 	407	125	1000	  2600/0174	"$1,149,500 "	"$1,233,600 "	12.5	1010	SINGLE FAM MDL01	RD	1	2016	"$954,300 "	"$279,300 "	"$1,233,600 "	"$2,666 "	11/2/01	"$360,000 "	7/31/95	"$1,047,200 "	"$1,111,400 "		"$102,300 "
505	599 RIVER RD	404/  30/  /  / 	404	30		  2300/0153	"$1,145,800 "	"$1,393,700 "	29	1013	SFR WATER  MDL-01	RD	1	2016	"$704,800 "	"$688,900 "	"$1,393,700 "	"$180,000 "	2/27/98	"$121,848 "	12/17/86	"$977,600 "	"$1,187,700 "		"$168,200 "
